上,じょう,Above
転,てん,Revolve
路,ろ,Road
病,びょう,Sick
横,よこ,Side
歌,か,Song
起,お,Wake Up
功,こう,Achievement
成,せい,Become
岸,がん,Coast
競,きょう,Compete
争,そう,Conflict
便,べん,Convenience
老,ろう,Elderly
命,めい,Fate
指,ゆび,Finger
初,しょ,First
味,み,Flavor
追,お,Follow
神,しん,God
良,よ,Good
意,い,Idea
労,ろう,Labor
好,こう,Like
昔,むかし,Long Ago
低,てい,Low
育,いく,Nurture
令,れい,Orders
拾,ひろ,Pick Up
注,ちゅう,Pour
利,り,Profit
位,い,Rank
級,きゅう,Rank
仲,なか,Relationship
放,ほう,Release
秒,びょう,Second
別,べつ,Separate
特,とく,Special
共,きょう,Together
努,ど,Toil
伝,つた,Transmit
戦,せん,War
波,は,Wave
洋,よう,Western Style
働,どう,Work
悪,あく,Bad
息,そく,Breath
章,しょう,Chapter
登,とう,Climb
寒,さむ,Cold
深,しん,Deep
倍,ばい,Double
勉,べん,Exertion
消,しょう,Extinguish
祭,まつり,Festival
野,や,Field
階,かい,Floor
庭,てい,Garden
港,こう,Harbor
暑,あつ,Hot
湯,ゆ,Hot Water
島,しま,Island
童,どう,Juvenile
員,いん,Member
商,しょう,Merchandise
都,と,Metropolis
動,どう,Move
第,だい,Ordinal Nu...
期,き,Period Of ...
植,しょく,Plant
根,こん,Root
悲,かな,Sad
短,たん,Short
球,きゅう,Sphere
泉,せん,Spring
流,りゅう,Stream
陽,よう,Sunshine
歯,は,Tooth
族,ぞく,Tribe
旅,りょ,Trip
温,おん,Warm
着,き,Wear
皆,みな,All
謝,しゃ,Apologize
整,せい,Arrange
橋,はし,Bridge
選,せん,Choose
想,そう,Concept
器,き,Container
暗,あん,Dark
疑,ぎ,Doubt
感,かん,Feeling
情,じょう,Feeling
料,りょう,Fee
様,さま,Formal Nam...
養,よう,Foster
緑,みどり,Green
熱,ねつ,Heat
億,おく,Hundred Mi...
殺,さつ,Kill
宿,しゅく,Lodge
福,ふく,Luck
鏡,かがみ,Mirror
然,ぜん,Nature
詩,し,Poem
練,れん,Practice
賞,しょう,Prize
問,もん,Problem
館,かん,Public Bui...
映,えい,Reflect
願,がん,Request
士,し,Samurai
課,か,Section
標,ひょう,Signpost
銀,ぎん,Silver
駅,えき,Station
像,ぞう,Statue
題,だい,Topic
輪,りん,Wheel
能,のう,Ability
芸,げい,Acting
術,じゅつ,Art
雰,ふん,Atmosphere
骨,こつ,Bone
束,そく,Bundle
周,しゅう,Circumference
協,きょう,Cooperation
例,れい,Example
折,せつ,Fold
基,き,Foundation
性,せい,Gender
妥,だ,Gentle
卒,そつ,Graduate
固,こ,Hard
望,ぼう,Hope
私,し,I
材,ざい,Lumber
参,さん,Participate
完,かん,Perfect
松,まつ,Pine
約,やく,Promise
残,ざん,Remainder
求,きゅう,Request
季,き,Seasons
技,ぎ,Skill
格,かく,Status
頑,がん,Stubborn
囲,い,Surround
的,てき,Target
念,ねん,Thought
希,き,Wish
紀,き,Account
軍,ぐん,Army
秋,あき,Autumn
信,しん,Believe
岩,いわ,Boulder
仏,ぶつ,Buddha
建,けん,Build
猫,ねこ,Cat
変,へん,Change
晴,は,Clear Up
築,ちく,Construct
勇,ゆう,Courage
泣,な,Cry
司,し,Director
区,く,District
英,えい,England
丈,じょう,Height
夫,ふう,Husband
飯,はん,Meal
計,けい,Measure
法,ほう,Method
晩,ばん,Night
昼,ひる,Noon
毒,どく,Poison
昨,さく,Previous
帰,かえ,Return
式,しき,Ritual
列,れつ,Row
浅,あさ,Shallow
単,たん,Simple
坂,さか,Slope
春,はる,Spring
寺,てら,Temple
浴,あ,Bathe
箱,はこ,Box
係,けい,Connection
治,じ,Cure
危,き,Dangerous
冒,ぼう,Dare
留,る,Detain
弁,べん,Dialect
証,しょう,Evidence
存,そん,Exist
遠,とお,Far
園,えん,Garden
門,もん,Gates
府,ふ,Government
幸,こう,Happiness
阪,はん,Heights
急,きゅう,Hurry
笑,わら,Laugh
荷,に,Luggage
政,せい,Politics
保,ほ,Preserve
品,ひん,Product
守,す,Protect
辞,じ,Quit
真,しん,Reality
喜,よろこ,Rejoice
関,かん,Related
険,けん,Risky
典,てん,Rule
専,せん,Specialty
冗,じょう,Superfluous
面,めん,Surface
取,と,Take
曜,よう,Weekday
書,しょ,Write
是,ぜ,Absolutely
結,けつ,Bind
底,そこ,Bottom
因,いん,Cause
識,しき,Discerning
干,かん,Dry
敗,はい,Failure
渉,しょう,Ford
果,か,Fruit
官,かん,Government
署,しょ,Government...
察,さつ,Guess
堂,どう,Hall
幻,げん,Illusion
非,ひ,Injustice
愛,あい,Love
薬,やく,Medicine
覚,かく,Memorize
常,じょう,Normal
鼻,はな,Nose
無,む,Nothing
原,げん,Original
栄,えい,Prosperity
恋,れん,Romance
塩,しお,Salt
席,せき,Seat
側,がわ,Side
兵,へい,Soldier
説,せつ,Theory
細,ほそ,Thin
梅,うめ,Ume
虚,きょ,Void
警,けい,Warn
告,こく,Announce
達,たつ,Attain
焼,や,Bake
借,しゃく,Borrow
弓,きゅう,Bow
脳,のう,Brain
胸,むね,Chest
喫,きつ,Consume
等,とう,Equal
枚,まい,Flat Objec...
忘,ぼう,Forget
訓,くん,Instruction
種,しゅ,Kind
報,ほう,News
句,く,Paragraph
許,きょ,Permit
可,か,Possible
祈,き,Pray
僧,そう,Priest
禁,きん,Prohibition
静,せい,Quiet
座,ざ,Sit
煙,えん,Smoke
汽,き,Steam
験,けん,Test
試,し,Try
類,るい,Type
洗,せん,Wash
禅,ぜん,Zen
得,とく,Acquire
加,か,Add
冊,さつ,Books Counter
履,り,Boots
忙,いそが,Busy
閥,ばつ,Clique
布,ふ,Cloth
比,ひ,Compare
歴,れき,Continuation
続,ぞく,Continue
減,げん,Decrease
昆,こん,Descendants
困,こま,Distressed
易,い,Easy
絡,らく,Entangle
笛,てき,Flute
容,よう,Form
団,だん,Group
史,し,History
徒,と,Junior
宙,ちゅう,Mid Air
混,こん,Mix
善,ぜん,Morally Good
順,じゅん,Order
宇,う,Outer Space
詞,し,Part Of Sp...
改,かい,Renew
乱,らん,Riot
節,せつ,Season
連,れん,Take Along
舌,した,Tongue
暴,ぼう,Violence
財,さい,Wealth
若,わか,Young
裕,ゆう,Abundant
尻,しり,Butt
確,かく,Certain
械,かい,Contraption
犯,はん,Crime
害,がい,Damage
議,ぎ,Deliberation
難,なん,Difficult
災,さい,Disaster
嫌,けん,Dislike
夢,む,Dream
震,しん,Earthquake
在,ざい,Exist
飛,ひ,Fly
産,さん,Give Birth
罪,ざい,Guilt
穴,あな,Hole
被,ひ,Incur
個,こ,Individual
機,き,Machine
妨,ぼう,Obstruct
倒,とう,Overthrow
経,けい,Passage Of...
率,りつ,Percent
圧,あつ,Pressure
防,ぼう,Prevent
臭,くさ,Stinking
余,よ,Surplus
尾,び,Tail
論,ろん,Theory
厚,あつ,Thick
妻,さい,Wife
責,せき,Blame
条,じょう,Clause
済,さい,Come To An...
委,い,Committee
省,しょう,Conserve
制,せい,Control
批,ひ,Criticism
断,だん,Cut Off
任,にん,Duty
素,す,Element
敵,てき,Enemy
設,せつ,Establish
評,ひょう,Evaluate
検,けん,Examine
岡,おか,Hill
増,ぞう,Increase
査,さ,Inspect
審,しん,Judge
判,はん,Judge
件,けん,Matter
際,さい,Occasion
企,き,Plan
挙,きょ,Raise
認,にん,Recognize
資,し,Resources
義,ぎ,Righteousness
権,けん,Rights
派,は,Sect
務,む,Task
税,ぜい,Tax
解,かい,Untie
総,そう,Whole
援,えん,Aid
態,たい,Appearance
誕,たん,Birth
状,じょう,Condition
賀,が,Congratula...
各,かく,Each
費,ひ,Expense
姿,し,Figure
勢,せい,Force
示,じ,Indicate
寝,ね,Lie Down
営,えい,Manage
坊,ぼう,Monk
罰,ばつ,Penalty
案,あん,Plan
策,さく,Plan
提,てい,Present
置,ち,Put
域,いき,Region
応,おう,Respond
宮,みや,Shinto Shrine
吸,きゅう,Suck
過,か,Surpass
領,りょう,Territory
脱,だつ,Undress
統,とう,Unite
価,か,Value
値,ね,Value
副,ふく,Vice
観,かん,View
藤,ふじ,Wisteria
呼,よ,Call
崎,さき,Cape
施,し,Carry Out
城,しろ,Castle
護,ご,Defend
鬼,き,Demon
割,わり,Divide
職,しょく,Employment
秀,しゅう,Excel
俳,はい,Haiku
停,てい,Halt
宅,たく,House
裁,さい,Judge
律,りつ,Law
導,どう,Lead
革,かく,Leather
贅,ぜい,Luxury
乳,にゅう,Milk
収,しゅう,Obtain
演,えん,Perform
現,げん,Present Time
備,び,Provide
則,そく,Rule
準,じゅん,Standard
規,き,Standard
張,ちょう,Stretch
優,ゆう,Superior
沢,たく,Swamp
師,し,Teacher
幹,かん,Tree Trunk
看,かん,Watch Over
庁,ちょう,Agency
額,がく,Amount
腕,うで,Arm
境,きょう,Boundary
燃,ねん,Burn
担,たん,Carry
祝,しゅく,Celebrate
届,とど,Deliver
違,ちが,Different
差,さ,Distinction
象,しょう,Elephant
展,てん,Expand
層,そう,Layer
視,し,Look At
環,かん,Loop
製,せい,Manufacture
述,じゅつ,Mention
武,ぶ,Military
型,けい,Model
狭,せま,Narrow
管,かん,Pipe
載,さい,Publish
質,しつ,Quality
量,りょう,Quantity
販,はん,Sell
供,きょう,Servant
肩,かた,Shoulder
株,かぶ,Stocks
触,しょく,Touch
輸,ゆ,Transport
腰,こし,Waist
慣,かん,Accustomed
居,きょ,Alive
逮,たい,Apprehend
票,ひょう,Ballot
属,ぞく,Belong
捕,ほ,Catch
候,こう,Climate
輩,はい,Comrade
況,きょう,Condition
響,きょう,Echo
効,こう,Effective
抜,ぬ,Extract
鮮,せん,Fresh
満,まん,Full
与,よ,Give
掛,か,Hang
隠,いん,Hide
模,も,Imitation
含,がん,Include
訟,しょう,Lawsuit
限,げん,Limit
肥,ひ,Obese
豊,ほう,Plentiful
替,か,Replace
景,けい,Scene
巻,かん,Scroll
捜,そう,Search
構,こう,Set Up
影,えい,Shadow
絞,こう,Strangle
訴,そ,Sue
補,ほ,Supplement
渡,わた,Transit
接,せつ,Adjoin
再,さ,Again
独,どく,Alone
獣,じゅう,Beast
菓,か,Cake
討,とう,Chastise
故,こ,Circumstance
較,かく,Contrast
造,ぞう,Create
創,そう,Create
往,おう,Depart
励,れい,Encourage
激,げき,Fierce
占,せん,Fortune
障,しょう,Hinder
我,が,I
徴,ちょう,Indication
授,じゅ,Instruct
鉛,えん,Lead
郵,ゆう,Mail
針,はり,Needle
従,じゅう,Obey
豚,ぶた,Pork
復,ふく,Restore
河,か,River
貯,ちょ,Savings
印,いん,Seal
振,しん,Shake
刺,し,Stab
突,とつ,Stab
怪,かい,Suspicious
汗,あせ,Sweat
筆,ひつ,Writing Brush
怒,ど,Angry
昇,しょう,Ascend
迷,めい,Astray
招,しょう,Beckon
腹,ふく,Belly
睡,すい,Drowsy
端,たん,Edge
極,きょく,Extreme
郎,ろう,Guy
康,こう,Health
健,けん,Healthy
誘,ゆう,Invite
貸,か,Lend
惑,わく,Misguided
痛,つう,Pain
退,たい,Retreat
途,と,Route
給,きゅう,Salary
就,しゅう,Settle In
靴,くつ,Shoes
眠,みん,Sleep
暇,か,Spare Time
段,だん,Steps
胃,い,Stomach
症,しょう,Symptom
濃,のう,Thick
締,てい,Tighten
迫,はく,Urge
訪,ほう,Visit
織,しき,Weave
悩,なや,Worry
屈,くつ,Yield
攻,こう,Aggression
撃,げき,Attack
浜,はま,Beach
綺,き,Beautiful
益,えき,Benefit
児,じ,Child
憲,けん,Constitution
冷,れい,Cool
処,しょ,Deal With
微,び,Delicate
修,しゅう,Discipline
博,はく,Exhibition
程,てい,Extent
絶,ぜつ,Extinction
凍,とう,Frozen
巨,きょ,Giant
稚,ち,Immature
幼,よう,Infancy
並,へい,Line Up
麗,れい,Lovely
奇,き,Odd
衆,しゅう,Populace
潔,けつ,Pure
清,せい,Pure
録,ろく,Record
逆,ぎゃく,Reverse
移,い,Shift
精,せい,Spirit
隊,たい,Squad
庫,こ,Storage
妙,みょう,Strange
券,けん,Ticket
傘,かさ,Umbrella
婦,ふ,Wife
略,りゃく,Abbreviation
積,せき,Accumulate
添,てん,Append
寄,き,Approach
宴,えん,Banquet
板,はん,Board
壊,かい,Break
督,とく,Coach
僚,りょう,Colleague
杯,はい,Cup Of Liquid
娘,むすめ,Daughter
診,しん,Diagnose
乾,かん,Dry
欧,おう,Europe
恐,きょう,Fear
猛,もう,Fierce
江,え,Inlet
韓,かん,Korea
雄,ゆう,Male
航,こう,Navigation
監,かん,Oversee
宗,しゅう,Religion
請,せい,Request
怖,ふ,Scary
索,さく,Search
臣,しん,Servant
催,さい,Sponsor
街,がい,Street
詰,つ,Stuffed
緊,きん,Tense
閣,かく,The Cabinet
促,そく,Urge
烈,れつ,Violent
更,こう,Again
魅,み,Alluring
背,はい,Back
騒,そう,Boisterous
飾,しょく,Decorate
預,よ,Deposit
詳,しょう,Detailed
版,はん,Edition
旗,き,Flag
浮,う,Float
越,えつ,Go Beyond
照,しょう,Illuminate
漏,ろう,Leak
系,けい,Lineage
覧,らん,Look At
婚,こん,Marriage
懐,なつ,Nostalgia
撮,さつ,Photograph
枕,まくら,Pillow
遊,あそ,Play
快,かい,Pleasant
貧,びん,Poor
延,えん,Prolong
押,お,Push
乏,ぼう,Scarce
盗,とう,Steal
購,こう,Subscription
適,てき,Suitable
翌,よく,The Following
渇,かわ,Thirst
符,ふ,Token
帯,たい,Belt
廊,ろう,Corridor
離,り,Detach
径,けい,Diameter
融,ゆう,Dissolve
均,きん,Equal
除,じょ,Exclude
貨,か,Freight
孫,そん,Grandchild
墓,ぼ,Grave
幾,いく,How Many
尋,じん,Inquire
編,へん,Knit
陸,りく,Land
探,たん,Look For
豪,ごう,Luxurious
鑑,かん,Model
泥,でい,Mud
巣,す,Nest
普,ふ,Normal
棒,ぼう,Pole
粉,ふん,Powder
既,き,Previously
救,きゅう,Rescue
似,ね,Resemble
富,ふ,Rich
散,さん,Scatter
華,か,Showy
嘆,たん,Sigh
偵,てい,Spy
驚,きょう,Surprised
掃,そう,Sweep
菜,さい,Vegetable
脈,みゃく,Vein
徳,とく,Virtue
倉,そう,Warehouse
酸,さん,Acid
賛,さん,Agree
祖,そ,Ancestor
銭,せん,Coin
込,こ,Crowded
衛,えい,Defense
机,つくえ,Desk
汚,お,Dirty
飼,か,Domesticate
複,ふく,Duplicate
染,せん,Dye
卵,たまご,Egg
永,えい,Eternity
績,せき,Exploits
眼,がん,Eyeball
液,えき,Fluid
採,さい,Gather
党,とう,Group
志,し,Intention
興,きょう,Interest
恩,おん,Kindness
序,じょ,Preface
雑,ざつ,Random
桜,さくら,Sakura
密,みつ,Secrecy
秘,ひ,Secret
厳,げん,Strict
捨,す,Throw Away
訳,やく,Translation
欲,よく,Want
暖,だん,Warm
迎,げい,Welcome
傷,しょう,Wound
灰,はい,Ashes
装,そう,Attire
著,ちょ,Author
裏,うら,Backside
閉,へい,Closed
垂,すい,Dangle
漠,ばく,Desert
異,い,Differ
皇,こう,Emperor
拡,かく,Extend
暮,ぼ,Livelihood
忠,ちゅう,Loyalty
肺,はい,Lung
誌,し,Magazine
操,そう,Manipulate
筋,きん,Muscle
否,ひ,No
盛,せい,Pile
宣,せん,Proclaim
賃,ちん,Rent
敬,けい,Respect
尊,そん,Revered
熟,じゅく,Ripen
砂,さ,Sand
簡,かん,Simplicity
蒸,じょう,Steam
蔵,ぞう,Storehouse
糖,とう,Sugar
納,のう,Supply
宝,ほう,Treasure
諸,しょ,Various
窓,まど,Window
豆,とう,Beans
枝,し,Branch
揮,き,Brandish
刻,こく,Carve
爪,つま,Claw
承,しょう,Consent
幕,まく,Curtain
紅,こう,Deep Red
歓,かん,Delight
降,こう,Descend
劇,げき,Drama
奴,ど,Dude
聖,せい,Holy
推,すい,Infer
臓,ぞう,Internal O...
損,そん,Loss
磁,じ,Magnet
誤,ご,Mistake
源,げん,Origin
芋,いも,Potato
純,じゅん,Pure
薦,せん,Recommend
丼,どん,Rice Bowl
腐,ふ,Rot
沿,えん,Run Alongside
射,しゃ,Shoot
縮,しゅく,Shrink
隷,れい,Slave
粋,すい,Stylish
吐,は,Throw Up
貴,き,Valuable
縦,たて,Vertical
勤,きん,Work
拝,はい,Worship
熊,くま,Bear
噌,そ,Boisterous
彫,ちょう,Carve
杉,すぎ,Cedar
銅,どう,Copper
舎,しゃ,Cottage
酔,すい,Drunk
炎,えん,Flame
彼,かれ,He
紹,しょう,Introduce
介,かい,Jammed In
湖,こ,Lake
講,こう,Lecture
寿,じゅ,Lifespan
測,そく,Measure
互,ご,Mutual
油,ゆ,Oil
己,こ,Oneself
払,はら,Pay
鍋,なべ,Pot
獄,ごく,Prison
為,い,Sake
恥,は,Shame
遅,ち,Slow
汁,じゅう,Soup
醤,しょう,Soy Sauce
滞,たい,Stagnate
剣,けん,Sword
破,は,Tear
亀,かめ,Turtle
厄,やく,Unlucky
酢,す,Vinegar
諾,だく,Agreement
盟,めい,Alliance
将,しょう,Commander
舞,ぶ,Dance
債,さい,Debt
伎,き,Deed
鹿,か,Deer
換,かん,Exchange
牙,げ,Fang
旧,きゅう,Former
般,はん,Generally
津,つ,Haven
療,りょう,Heal
継,けい,Inherit
遺,い,Leave Behind
維,い,Maintain
奈,な,Nara
核,かく,Nucleus
廃,はい,Obsolete
献,けん,Offer
沖,おき,Open Sea
摘,てき,Pluck
及,きゅう,Reach
依,い,Reliant
縄,じょう,Rope
踏,とう,Step
伸,の,Stretch
姓,せい,Surname
甘,あま,Sweet
貿,ぼう,Trade
頼,らい,Trust
超,ちょう,Ultra
幅,はば,Width
患,かん,Afflicted
狙,そ,Aim
陣,じん,Army Base
塁,るい,Base
弾,だん,Bullet
葬,そう,Burial
抗,こう,Confront
崩,ほう,Crumble
遣,けん,Dispatch
掲,けい,Display
爆,ばく,Explode
恵,え,Favor
漁,ぎょ,Fishing
香,こう,Fragrance
湾,わん,Gulf
跳,ちょう,Hop
抱,だ,Hug
旬,しゅん,In Season
聴,ちょう,Listen
臨,りん,Look To
兆,ちょう,Omen
契,けい,Pledge
刑,けい,Punish
募,ぼ,Recruit
償,しょう,Reparation
抵,てい,Resist
戻,もど,Return
昭,しょう,Shining
闘,とう,Struggle
執,しゅう,Tenacious
跡,せき,Traces
削,さく,Whittle Down
伴,はん,Accompany
齢,れい,Age
宜,よろ,Best Regards
賄,わい,Bribe
賂,ろ,Bribe
房,ぼう,Cluster
慮,りょ,Consider
託,たく,Consign
却,きゃく,Contrary
需,じゅ,Demand
致,ち,Do
避,ひ,Dodge
描,びょう,Draw
刊,かん,Edition
逃,とう,Escape
扱,あつか,Handle
奥,おく,Interior
併,へい,Join
傾,けい,Lean
緩,ゆる,Loose
奏,そう,Play Music
妊,にん,Pregnant
娠,しん,Pregnant
贈,ぞう,Presents
択,たく,Select
還,かん,Send Back
繰,く,Spin
抑,よく,Suppress
懸,けん,Suspend
称,しょう,Title
緒,しょ,Together
盤,ばん,Tray
控,ひか,Abstain
充,じゅう,Allocate
渋,じゅう,Bitter
岐,き,Branch Off
埋,う,Bury
鈴,りん,Buzzer
埼,さい,Cape
棋,き,Chess Piece
譲,じょう,Defer
雇,こ,Employ
免,めん,Excuse
群,ぐん,Flock
枠,わく,Frame
銃,じゅう,Gun
仙,せん,Hermit
邦,ほう,Home Country
御,ご,Honorable
慎,しん,Humility
躍,やく,Leap
謙,けん,Modesty
阜,ふ,Mound
片,かた,One Sided
項,こう,Paragraph
斐,い,Patterned
隆,りゅう,Prosperity
圏,けん,Range
勧,かん,Recommend
拒,きょ,Refusal
稲,いね,Rice Plant
奪,うば,Rob
鋼,こう,Steel
甲,か,Turtle Shell
壁,かべ,Wall
祉,し,Welfare
敏,びん,Alert
吹,ふ,Blow
唱,しょう,Chant
衝,しょう,Collide
戒,かい,Commandment
兼,けん,Concurrently
薄,はく,Dilute
堀,ほり,Ditch
剤,ざい,Dose
雅,が,Elegant
孝,こう,Filial Piety
頻,ひん,Frequent
駆,か,Gallop
俊,しゅん,Genius
誉,よ,Honor
茂,も,Luxuriant
殿,でん,Milord
殖,しょく,Multiply
隣,りん,Neighbor
繁,はん,Overgrown
巡,じゅん,Patrol
柱,ちゅう,Pillar
携,けい,Portable
褒,ほう,Praise
排,はい,Reject
駐,ちゅう,Resident
顧,こ,Review
犠,ぎ,Sacrifice
獲,かく,Seize
鋭,えい,Sharp
敷,しき,Spread
透,とう,Transparent
棄,き,Abandon
至,し,Attain
拠,きょ,Based On
蜂,はち,Bee
儀,ぎ,Ceremony
炭,たん,Charcoal
衣,い,Clothes
潜,せん,Conceal
偽,ぎ,Fake
畑,はたけ,Field
蛍,ほたる,Firefly
拳,けん,Fist
郷,きょう,Hometown
蜜,みつ,Honey
仁,じん,Humanity
遜,そん,Humble
侵,しん,Invade
鉱,こう,Mineral
伺,うかが,Pay Respects
徹,てつ,Penetrate
瀬,せ,Rapids
墟,きょ,Ruins
酎,ちゅう,Sake
措,そ,Set Aside
誠,せい,Sincerity
虎,とら,Tiger
艦,かん,Warship
撤,てつ,Withdrawal
樹,じゅ,Wood
包,ほう,Wrap
析,せき,Analysis
弧,こ,Arc
到,とう,Arrival
軸,じく,Axis
綱,つな,Cable
挑,ちょう,Challenge
焦,しょう,Char
掘,くつ,Dig
紛,ふん,Distract
範,はん,Example
括,かつ,Fasten
床,しょう,Floor
握,あく,Grip
枢,すう,Hinge
