上,じょう,Above
揚,よう,Hoist
潟,かた,Lagoon
芝,しば,Lawn
肝,かん,Liver
喪,そう,Mourning
網,もう,Netting
克,こく,Overcome
泊,はく,Overnight
双,そう,Pair
柄,がら,Pattern
哲,てつ,Philosophy
斎,さい,Purification
袋,ふくろ,Sack
揺,よう,Shake
滑,かつ,Slippery
堅,かた,Solid
暫,ざん,Temporarily
糾,きゅう,Twist
荒,あ,Wild
襲,しゅう,Attack
沼,ぬま,Bog
朗,ろう,Bright
摩,ま,Chafe
懲,ちょう,Chastise
慰,い,Consolation
懇,こん,Courteous
筒,とう,Cylinder
滅,めつ,Destroy
距,きょ,Distance
籍,せき,Enroll
露,ろ,Expose
炉,ろ,Furnace
柔,じゅう,Gentle
趣,しゅ,Gist
擦,さつ,Grate
琴,こと,Harp
垣,かき,Hedge
即,そく,Instant
威,い,Majesty
滋,じ,Nourishing
牧,ぼく,Pasture
泰,たい,Peace
岳,がく,Peak
旨,し,Point
刷,さつ,Printing
珍,ちん,Rare
封,ふう,Seal
斉,せい,Simultaneous
沈,ちん,Sink
撲,ぼく,Slap
裂,れつ,Split
潮,ちょう,Tide
貢,こう,Tribute
誰,だれ,Who
刃,は,Blade
砲,ほう,Cannon
笠,かさ,Conical Hat
竜,りゅう,Dragon
縁,えん,Edge
忍,にん,Endure
釣,つ,Fishing
吉,きつ,Good Luck
粒,りゅう,Grains
髪,かみ,Hair
丘,きゅう,Hill
僕,ぼく,I
俺,おれ,I
斗,と,Ladle
寸,すん,Measurement
桃,もも,Peach
梨,なし,Pear
姫,ひめ,Princess
娯,ご,Recreation
謎,なぞ,Riddle
侍,さむらい,Samurai
叱,しか,Scold
棚,たな,Shelf
叫,きょう,Shout
匹,ひき,Small Animal
辛,しん,Spicy
芽,め,Sprout
嵐,あらし,Storm
涙,るい,Teardrop
雷,らい,Thunder
缶,かん,Tin Can
塔,とう,Tower
朱,しゅ,Vermillion
翼,よく,Wing
頃,ころ,Approximate
菌,きん,Bacteria
鐘,しょう,Bell
舟,ふね,Boat
嫁,よめ,Bride
暦,れき,Calendar
曇,くも,Cloudy
也,なり,Considerably
塾,じゅく,Cram School
呪,のろ,Curse
湿,しつ,Damp
稼,か,Earnings
疲,ひ,Exhausted
翔,かけ,Fly
賭,か,Gamble
霊,れい,Ghost
溝,こう,Gutter
矛,む,Halberd
狩,か,Hunt
脚,きゃく,Leg
澄,ちょう,Lucidity
塊,かたまり,Lump
狂,きょう,Lunatic
嬢,じょう,Miss
裸,ら,Naked
磨,みが,Polish
陰,いん,Shade
肌,はだ,Skin
魂,たましい,Soul
眺,ちょう,Stare
硬,こう,Stiff
卓,たく,Table
凶,きょう,Villain
滝,たき,Waterfall
井,しょう,Well
墨,すみ,Black Ink
瞬,しゅん,Blink
泡,ほう,Bubbles
穏,おん,Calm
孔,こう,Cavity
椅,い,Chair
菊,きく,Chrysanthemum
涼,りょう,Cool
綿,めん,Cotton
魔,ま,Devil
寮,りょう,Dormitory
鳩,はと,Dove
鈍,どん,Dull
鍛,たん,Forge
碁,ご,Go
癖,くせ,Habit
穂,ほ,Head Of Plant
吾,わが,I
鍵,かぎ,Key
盆,ぼん,Lantern Fe...
庄,しょう,Manor
猿,さる,Monkey
棟,とう,Pillar
誇,こ,Pride
瞳,とう,Pupil
寧,ねい,Rather
俵,ひょう,Sack
幽,ゆう,Secluded
架,か,Shelf
黙,もく,Shut Up
斬,ざん,Slice
帝,てい,Sovereign
租,そ,Tariff
錬,れん,Tempering
阻,そ,Thwart
歳,さい,Years Old
零,れい,Zero
幣,へい,Cash
箸,はし,Chopsticks
瞭,りょう,Clear
崖,がい,Cliff
炊,すい,Cook
粧,しょう,Cosmetics
墜,つい,Crash
欺,ぎ,Deceit
滴,てき,Drip
塀,へい,Fence
霧,きり,Fog
扇,せん,Folding Fan
扉,ひ,Front Door
恨,こん,Grudge
帽,ぼう,Hat
憎,ぞう,Hate
佐,さ,Help
挿,そう,Insert
伊,い,Italy
詐,さ,Lie
如,じょ,Likeness
唇,くちびる,Lips
掌,しょう,Manipulate
婆,ば,Old Woman
哀,あい,Pathetic
虹,にじ,Rainbow
爽,さわ,Refreshing
憩,けい,Rest
尺,しゃく,Shaku
砕,さい,Smash
粘,ねん,Sticky
畳,じょう,Tatami Mat
胴,どう,Torso
巾,きん,Towel
芯,しん,Wick
柳,りゅう,Willow
遂,すい,Accomplish
蓄,ちく,Amass
脇,わき,Armpit
殴,おう,Assault
咲,さ,Blossom
鉢,はち,Bowl
賢,けん,Clever
彩,さい,Coloring
隙,すき,Crevice
培,ばい,Cultivate
踊,おど,Dance
闇,やみ,Darkness
斜,しゃ,Diagonal
尽,じん,Exhaust
霜,しも,Frost
穫,かく,Harvest
麻,ま,Hemp
騎,き,Horse
辱,じょく,Humiliate
灯,とう,Lamp
畜,ちく,Livestock
溶,よう,Melt
蚊,か,Mosquito
帳,ちょう,Notebook
塗,と,Paint
貼,は,Paste
輝,き,Radiance
憶,おく,Recollection
悔,かい,Regret
耐,たい,Resistant
盾,じゅん,Shield
蛇,へび,Snake
班,はん,Squad
餓,が,Starve
飢,き,Starve
迅,じん,Swift
脅,きょう,Threaten
概,がい,Approximation
拘,こう,Arrest
煮,に,Boil
覆,ふく,Capsize
駒,こま,Chess Piece
悟,ご,Comprehension
謀,ぼう,Conspire
鶴,つる,Crane
拓,たく,Cultivation
衰,すい,Decline
奨,しょう,Encourage
淡,たん,Faint
礎,そ,Foundation
陛,へい,Highness
浸,しん,Immersed
劣,れつ,Inferiority
勘,かん,Intuition
隔,かく,Isolate
桑,くわ,Mulberry
尼,に,Nun
珠,しゅ,Pearl
抽,ちゅう,Pluck
壇,だん,Podium
陶,とう,Pottery
妃,ひ,Princess
刈,か,Prune
紫,し,Purple
唯,ゆい,Solely
剛,ごう,Sturdy
征,せい,Subjugate
誓,せい,Vow
俗,ぞく,Vulgar
潤,じゅん,Watered
偶,ぐう,Accidentally
巧,こう,Adept
鰐,わに,Alligator
把,わ,Bundle
駄,だ,Burdensome
洞,どう,Cave
伯,はく,Chief
唐,とう,China
諮,し,Consult
廷,てい,Courts
蟹,かに,Crab
晶,しょう,Crystal
堰,せき,Dam
漂,ひょう,Drift
淀,よど,Eddy
堤,てい,Embankment
后,こう,Empress
疫,えき,Epidemic
翻,ほん,Flip
鬱,うつ,Gloom
涯,がい,Horizon
銘,めい,Inscription
仰,ぎょう,Look Up To
漫,まん,Manga
彰,しょう,Patent
簿,ぼ,Record Book
亭,てい,Restaurant
訂,てい,Revise
壮,そう,Robust
軌,き,Rut
奮,ふん,Stirred Up
峰,ほう,Summit
墳,ふん,Tomb
搬,はん,Transport
邪,じゃ,Wicked
肯,こう,Agreement
浦,うら,Bay
挟,はさ,Between
沸,ふつ,Boil
瓶,びん,Bottle
召,しょう,Call
貞,てい,Chastity
亮,りょう,Clear
襟,えり,Collar
隅,すみ,Corner
郡,ぐん,County
燥,そう,Dry Up
釈,しゃく,Explanation
脂,し,Fat
偉,い,Greatness
軒,けん,House Counter
蓮,れん,Lotus
慈,じ,Mercy
塚,つか,Mound
玄,げん,Mysterious
肪,ぼう,Obese
耕,こう,Plow
媛,ひめ,Princess
邸,てい,Residence
喚,かん,Scream
苗,みょう,Seedling
隻,せき,Ship Counter
膚,ふ,Skin
軟,なん,Soft
郊,こう,Suburbs
頂,ちょう,Summit
濯,たく,Wash
渦,か,Whirlpool
聡,そう,Wise
枯,こ,Wither
祥,しょう,Auspicious
呂,ろ,Bath
偏,へん,Biased
茨,いばら,Briar
陥,かん,Cave In
鎖,さ,Chain
賠,ばい,Compensation
恒,こう,Constant
綾,りん,Design
没,ぼつ,Die
擁,よう,Embrace
遭,そう,Encounter
噴,ふん,Erupt
殊,しゅ,Especially
倫,りん,Ethics
陳,ちん,Exhibit
隼,はやぶさ,Falcon
乃,ない,From
輔,すけ,Help
猟,りょう,Hunting
唆,さ,Instigate
惰,だ,Lazy
怠,たい,Lazy
覇,は,Leadership
須,す,Necessary
牲,せい,Offering
秩,ちつ,Order
孤,こ,Orphan
芳,ほう,Perfume
貫,かん,Pierce
糧,りょう,Provisions
颯,さつ,Quick
慢,まん,Ridicule
膨,ぼう,Swell
遇,ぐう,Treatment
諭,ゆ,Admonish
随,ずい,All
胡,こ,Barbarian
搭,とう,Board
錦,にしき,Brocade
鯉,こい,Carp
胞,ほう,Cell
浄,じょう,Cleanse
帥,すい,Commander
諒,りょう,Comprehend
蒙,もう,Darkness
曙,あけぼの,Dawn
惨,さん,Disaster
稿,こう,Draft
啓,けい,Enlighten
披,ひ,Expose
繊,せん,Fiber
徐,じょ,Gently
葵,あおい,Hollyhock
騰,とう,Inflation
据,す,Install
莉,り,Jasmine
緯,い,Latitude
瓜,か,Melon
虐,ぎゃく,Oppress
戴,たい,Receive
艇,てい,Rowboat
丹,たん,Rust Colored
緋,ひ,Scarlet
准,じゅん,Semi
舗,ほ,Shop
壌,じょう,Soil
駿,しゅん,Speed
剰,じょう,Surplus
寛,かん,Tolerance
庶,しょ,All
且,か,Also
顕,けん,Appear
杏,あんず,Apricot
栞,しおり,Bookmark
欄,らん,Column
冠,かん,Crown
酷,こく,Cruel
叙,じょ,Describe
逸,いつ,Deviate
紋,もん,Family Crest
阿,あ,Flatter
愚,ぐ,Foolish
尚,しょう,Furthermore
拐,かい,Kidnap
悠,ゆう,Leisure
勲,くん,Merit
疎,そ,Neglect
謡,よう,Noh Chanting
哺,ほ,Nurse
栽,さい,Planting
践,せん,Practice
呈,てい,Present
傲,ごう,Proud
疾,しつ,Rapid
茜,あかね,Red Dye
酬,しゅう,Repay
呆,ほう,Shock
鎌,かま,Sickle
粛,しゅく,Solemn
茎,くき,Stem
痴,ち,Stupid
荘,そう,Villa
鯨,げい,Whale
卸,おろし,Wholesale
累,るい,Accumulate
伏,ふく,Bow
虜,りょ,Captive
循,じゅん,Circulation
粗,そ,Coarse
凝,ぎょう,Congeal
栓,せん,Cork
瑛,えい,Crystal
旦,たん,Dawn
奉,ほう,Dedicate
遼,りょう,Distant
郭,かく,Enclosure
抹,まつ,Erase
佳,か,Excellent
惜,せき,Frugal
憂,ゆう,Grief
悼,とう,Grieve
癒,ゆ,Healing
栃,とち,Horse Ches...
龍,りゅう,Imperial
弥,や,Increasing
髄,ずい,Marrow
傍,ぼう,Nearby
愉,ゆ,Pleasant
赴,ふ,Proceed
昌,しょう,Prosperous
憾,かん,Remorse
朴,ぼく,Simple
脊,せき,Stature
該,がい,The Above
之,これ,This
鎮,ちん,Tranquilize
尿,にょう,Urine
賓,ひん,Vip
那,な,What
匠,しょう,Artisan
拍,はく,Beat
縛,ばく,Bind
飽,ほう,Bored
柴,しば,Brushwood
蝶,ちょう,Butterfly
弦,げん,Chord
凛,りん,Cold
庸,よう,Common
錯,さく,Confused
轄,かつ,Control
悦,えつ,Delight
窮,きゅう,Destitute
嘉,か,Esteem
弊,へい,Evil
遥,はる,Far Off
洪,こう,Flood
紳,しん,Gentleman
呉,ご,Give
穀,こく,Grain
摂,せつ,In Addition
寂,じゃく,Lonely
宰,さい,Manager
陵,りょう,Mausoleum
凡,ぼん,Mediocre
尉,い,Military O...
靖,やす,Peaceful
恭,うやうや,Respect
縫,ほう,Sew
舶,はく,Ship
搾,さく,Squeeze
猶,ゆう,Still
窒,ちつ,Suffocate
碑,ひ,Tombstone
智,ち,Wisdom
款,かん,Article
鼓,こ,Beat
盲,もう,Blind
醸,じょう,Brew
凹,おう,Concave
弔,ちょう,Condolence
凸,とつ,Convex
烏,からす,Crow
敢,かん,Daring
堕,だ,Degenerate
衡,こう,Equilibrium
伐,ばつ,Fell
酵,こう,Ferment
閲,えつ,Inspection
遮,しゃ,Intercept
腸,ちょう,Intestines
瑠,る,Lapis Lazuli
乙,おつ,Latter
楓,ふう,Maple
膜,まく,Membrane
紺,こん,Navy
蒼,そう,Pale
漬,つ,Pickle
哉,や,Question Mark
峡,きょう,Ravine
賊,ぞく,Robber
旋,せん,Rotation
俸,ほう,Salary
喝,かつ,Scold
羅,ら,Spread Out
萌,ほう,Sprout
槽,そう,Tank
坪,つぼ,Two Mat Area
遍,へん,Universal
胎,たい,Womb
陪,ばい,Accompany
扶,ふ,Aid
迭,てつ,Alternate
鶏,けい,Chicken
瑞,みず,Congratula...
暁,あかつき,Dawn
剖,ぼう,Divide
凌,しの,Endure
藩,はん,Fiefdom
譜,ふ,Genealogy
璃,り,Glassy
淑,しゅく,Graceful
傑,けつ,Greatness
殻,かく,Husk
錠,じょう,Lock
媒,ばい,Mediator
忌,き,Mourning
濁,だく,Muddy
椎,つい,Oak
赦,しゃ,Pardon
戯,ぎ,Play
享,きょう,Receive
嘱,しょく,Request
肖,しょう,Resemblance
憤,ふん,Resent
漣,れん,Ripples
朽,きゅう,Rot
奔,ほん,Run
帆,はん,Sail
菅,すが,Sedge
酌,しゃく,Serve
慨,がい,Sigh
絹,けん,Silk
窃,せつ,Steal
硫,りゅう,Sulfur
亜,あ,Asia
屯,とん,Barracks
岬,みさき,Cape
鋳,ちゅう,Cast
拙,せつ,Clumsy
詠,えい,Compose
慶,けい,Congratulate
酪,らく,Dairy
篤,とく,Deliberate
侮,ぶ,Despise
堪,た,Endure
禍,か,Evil
雌,めす,Female
睦,ぼく,Friendly
胆,たん,Guts
擬,ぎ,Imitate
漆,しつ,Lacquer
閑,かん,Leisure
憧,あこが,Long For
卑,ひ,Lowly
姻,いん,Marry
曹,そう,Official
吟,ぎん,Recital
礁,しょう,Reef
峠,とうげ,Ridge
沙,さ,Sand
蔑,べつ,Scorn
汰,た,Select
紡,ぼう,Spinning
遷,せん,Transition
叔,お,Uncle
甚,じん,Very
浪,ろう,Wander
梓,あずさ,Wood Block
崇,すう,Worship
煩,はん,Annoy
蛮,ばん,Barbarian
廉,れん,Bargain
劾,がい,Censure
某,ぼう,Certain
矯,きょう,Correct
囚,しゅう,Criminal
痢,り,Diarrhea
逝,せい,Die
狐,きつね,Fox
漸,ようや,Gradually
升,ます,Grid
婿,むこ,Groom
匿,とく,Hide
謹,きん,Humble
藍,あい,Indigo
桟,さん,Jetty
殉,じゅん,Martyr
坑,こう,Pit
罷,ひ,Quit
妄,もう,Reckless
藻,そう,Seaweed
泌,ひ,Secrete
唄,うた,Shamisen Song
畔,はん,Shore
倹,けん,Thrifty
拷,ごう,Torture
醜,しゅう,Ugly
渓,けい,Valley
湧,ゆう,Well
寡,か,Widow
慕,ぼ,Yearn For
